Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,670.000000,711.000000,617.000000,666.000000,514.434631,35008100
2010-03-01,667.000000,739.000000,652.000000,719.000000,555.373230,36206500
2010-04-01,710.000000,745.000000,695.000000,742.000000,583.953064,35529200
2010-05-01,742.000000,742.000000,592.000000,602.000000,473.773224,42652100
2010-06-01,604.000000,618.000000,525.000000,538.000000,423.405273,44854400
2010-07-01,538.000000,635.000000,528.000000,623.000000,490.300262,50470400
2010-08-01,624.000000,647.000000,556.000000,558.000000,439.145325,42897400
2010-09-01,558.000000,632.000000,546.000000,619.000000,487.152130,41812300
2010-10-01,622.000000,650.000000,563.000000,566.000000,445.441162,39818500
2010-11-01,566.000000,652.000000,555.000000,625.000000,491.874146,33965200
2010-12-01,620.000000,684.000000,611.000000,655.000000,515.484131,32226200
2011-01-01,655.000000,716.000000,612.000000,614.000000,483.217163,40833300
2011-02-01,620.000000,724.000000,613.000000,722.000000,568.213013,44357900
2011-03-01,719.000000,742.000000,562.000000,658.000000,517.845093,66161900
2011-04-01,650.000000,670.000000,610.000000,642.000000,516.499512,36670700
2011-05-01,651.000000,660.000000,570.000000,594.000000,477.882690,46928800
2011-06-01,597.000000,597.000000,541.000000,565.000000,454.551727,42625000
2011-07-01,577.000000,595.000000,546.000000,546.000000,439.265900,30686500
2011-08-01,547.000000,570.000000,471.000000,485.000000,390.190460,52890300
2011-09-01,494.000000,508.000000,449.000000,495.000000,398.235565,37804700
2011-10-01,483.000000,500.000000,442.000000,487.000000,391.799438,39897900
2011-11-01,477.000000,484.000000,427.000000,472.000000,379.731750,28843900
2011-12-01,480.000000,498.000000,461.000000,467.000000,375.709106,41901700
2012-01-01,467.000000,475.000000,431.000000,448.000000,360.423279,43796600
2012-02-01,441.000000,578.000000,434.000000,559.000000,449.724670,70356700
2012-03-01,568.000000,597.000000,525.000000,591.000000,475.469086,48994200
2012-04-01,594.000000,604.000000,529.000000,535.000000,443.298370,50112500
2012-05-01,531.000000,532.000000,440.000000,457.000000,378.667999,63883400
2012-06-01,455.000000,523.000000,436.000000,519.000000,430.040863,44221200
2012-07-01,529.000000,542.000000,476.000000,515.900024,427.472229,32013300
2012-08-01,529.000000,595.000000,499.000000,567.000000,469.813416,44287400
2012-09-01,565.000000,624.000000,548.000000,553.000000,458.213104,46843800
2012-10-01,547.000000,632.000000,526.000000,610.000000,505.443054,60106500
2012-11-01,608.000000,620.000000,540.000000,617.000000,511.243256,44406400
2012-12-01,618.000000,820.000000,609.000000,753.000000,623.932007,55543900
2013-01-01,753.000000,833.000000,732.000000,788.000000,652.933105,58241200
2013-02-01,795.000000,797.000000,685.000000,734.000000,608.188843,53296300
2013-03-01,734.000000,783.000000,707.000000,725.000000,600.731567,50455100
2013-04-01,730.000000,820.000000,706.000000,807.000000,686.724243,53316700
2013-05-01,793.000000,1055.000000,770.000000,918.000000,781.180786,63244000
2013-06-01,903.000000,922.000000,795.000000,874.000000,743.738403,45598100
2013-07-01,875.000000,943.000000,866.000000,875.000000,744.589478,38432800
2013-08-01,875.000000,995.000000,841.000000,844.000000,718.209778,42948200
2013-09-01,843.000000,925.000000,811.000000,908.000000,772.671143,35401000
2013-10-01,912.000000,955.000000,850.000000,937.000000,806.140076,31000100
2013-11-01,945.000000,1174.000000,903.000000,1161.000000,998.856506,44163900
2013-12-01,1160.000000,1296.000000,1063.000000,1287.000000,1107.259644,49501600
2014-01-01,1287.000000,1287.000000,1102.000000,1122.000000,965.303406,34232900
2014-02-01,1103.000000,1176.000000,1039.000000,1149.000000,988.532776,27362900
2014-03-01,1143.000000,1234.000000,1081.000000,1221.000000,1050.477173,28752400
2014-04-01,1231.000000,1248.000000,1100.000000,1166.000000,1016.334717,33219300
2014-05-01,1166.000000,1407.000000,1126.000000,1355.000000,1181.074829,45783900
2014-06-01,1374.000000,1519.000000,1361.000000,1470.000000,1281.313721,43995600
2014-07-01,1479.000000,1775.000000,1456.000000,1747.000000,1522.758545,52833900
2014-08-01,1730.000000,1892.000000,1642.000000,1812.000000,1579.415161,46518600
2014-09-01,1835.000000,1914.000000,1664.000000,1828.000000,1593.361450,55912400
2014-10-01,1807.000000,1820.000000,1534.000000,1727.000000,1515.900024,57054400
2014-11-01,1727.000000,1819.000000,1565.000000,1794.000000,1574.710205,58522100
2014-12-01,1780.000000,2026.000000,1778.000000,1861.000000,1633.520264,61351700
2015-01-01,1861.000000,1966.000000,1736.000000,1859.000000,1631.764648,47178300
2015-02-01,1845.000000,2136.000000,1751.000000,2094.000000,1838.039551,66793200
2015-03-01,2120.000000,2340.000000,1995.000000,2279.000000,2000.425903,52044000
2015-04-01,2293.000000,2469.000000,2224.000000,2435.000000,2159.221436,40971800
2015-05-01,2411.000000,2422.000000,2108.000000,2349.000000,2082.961426,60951200
2015-06-01,2337.000000,2482.000000,2267.000000,2416.000000,2142.373535,40737100
2015-07-01,2434.000000,2599.000000,2242.000000,2473.000000,2192.917969,50554700
2015-08-01,2470.000000,2631.000000,2158.000000,2334.000000,2069.660400,54552500
2015-09-01,2313.000000,2353.000000,2087.000000,2165.000000,1919.800781,41232100
2015-10-01,2174.000000,2351.000000,2115.000000,2292.000000,2048.370361,35437100
2015-11-01,2257.000000,2734.000000,2257.000000,2715.000000,2426.407227,47894700
2015-12-01,2701.000000,2884.000000,2627.000000,2847.000000,2544.376221,54046000
2016-01-01,2847.000000,2867.000000,2197.000000,2308.000000,2062.669678,56192400
2016-02-01,2360.000000,2491.000000,1816.000000,2079.000000,1858.011475,86008000
2016-03-01,2091.000000,2298.000000,2020.000000,2271.000000,2029.602905,34240200
2016-04-01,2290.000000,2290.000000,2000.000000,2115.000000,1909.032104,48775000
2016-05-01,2018.000000,2047.000000,1645.000000,1725.000000,1557.011963,64690900
2016-06-01,1710.000000,1728.000000,1353.000000,1464.000000,1321.429199,57685900
2016-07-01,1491.000000,1634.000000,1403.000000,1477.000000,1333.163330,46261300
2016-08-01,1437.000000,1485.000000,1231.000000,1461.000000,1318.721436,63705600
2016-09-01,1458.000000,1526.000000,1366.000000,1403.000000,1266.369751,43449500
2016-10-01,1409.000000,1554.000000,1377.000000,1466.000000,1342.219360,57653100
2016-11-01,1471.000000,1527.000000,1207.000000,1495.000000,1368.770630,81885000
2016-12-01,1525.000000,1743.000000,1491.000000,1653.000000,1513.429932,64222100
2017-01-01,1653.000000,1766.000000,1529.000000,1564.000000,1431.944580,46651000
2017-02-01,1530.000000,1583.000000,1462.000000,1517.000000,1388.912964,42430300
2017-03-01,1528.000000,1669.000000,1520.000000,1549.000000,1418.211182,36491900
2017-04-01,1540.000000,1607.000000,1454.000000,1571.000000,1456.572021,36755000
2017-05-01,1560.000000,1799.000000,1547.000000,1720.000000,1594.719482,44317000
2017-06-01,1715.000000,1775.000000,1663.000000,1727.000000,1601.209595,31007700
2017-07-01,1730.000000,1820.000000,1688.000000,1808.000000,1676.309570,25172300
2017-08-01,1808.000000,1910.000000,1536.000000,1554.000000,1440.810303,44927800
2017-09-01,1561.000000,1592.000000,1501.000000,1584.000000,1468.625244,30828000
2017-10-01,1591.000000,1720.000000,1583.000000,1668.000000,1566.449097,34821900
2017-11-01,1682.000000,1723.000000,1607.000000,1642.000000,1542.031860,39245400
2017-12-01,1659.000000,1681.000000,1587.000000,1621.000000,1522.310303,29595300
2018-01-01,1621.000000,1752.000000,1621.000000,1655.000000,1554.240479,33151900
2018-02-01,1679.000000,1709.000000,1427.000000,1587.000000,1490.380371,48621000
2018-03-01,1586.000000,1678.000000,1520.000000,1586.000000,1489.441284,46289000
2018-04-01,1581.000000,1773.000000,1547.000000,1633.000000,1543.316895,42535500
2018-05-01,1622.000000,1747.000000,1611.000000,1665.000000,1573.559326,27178400
2018-06-01,1645.000000,1819.000000,1641.000000,1802.000000,1703.035400,29766700
2018-07-01,1800.000000,1884.000000,1770.000000,1825.000000,1724.772339,28142400
2018-08-01,1828.000000,1841.000000,1647.000000,1785.000000,1686.969116,31185200
2018-09-01,1787.000000,1891.000000,1743.000000,1857.000000,1755.014893,24078600
2018-10-01,1872.000000,1908.000000,1611.000000,1705.000000,1628.830078,35252400
2018-11-01,1707.000000,1754.000000,1530.000000,1583.000000,1512.280273,34937100
2018-12-01,1606.000000,1612.000000,1261.000000,1304.000000,1245.744507,29913300
2019-01-01,1304.000000,1460.000000,1247.000000,1447.000000,1382.356079,21538500
2019-02-01,1387.000000,1559.000000,1376.000000,1511.000000,1443.496948,20728900
2019-03-01,1520.000000,1568.000000,1409.000000,1445.000000,1380.445313,17098100
2019-04-01,1466.000000,1483.000000,1378.000000,1401.000000,1361.360474,14812800
2019-05-01,1401.000000,1414.000000,1165.000000,1211.000000,1176.736328,24490200
2019-06-01,1200.000000,1369.000000,1195.000000,1338.000000,1300.143066,29988500
2019-07-01,1367.000000,1373.000000,1222.000000,1246.000000,1210.745972,25650300
2019-08-01,1246.000000,1499.000000,1238.000000,1483.000000,1441.040405,36864400
2019-09-01,1478.000000,1697.000000,1470.000000,1675.000000,1627.608032,27148000
2019-10-01,1676.000000,1808.000000,1628.000000,1765.000000,1738.612915,29319000
2019-11-01,1738.000000,2123.000000,1727.000000,2087.000000,2055.799072,34027200
2019-12-01,2082.000000,2234.000000,2051.000000,2191.000000,2158.244141,21112700
2020-01-01,2191.000000,2315.000000,2016.000000,2049.000000,2018.367188,27829100
2020-02-01,1983.000000,2130.000000,1835.000000,1857.000000,1829.237549,27572700
2020-03-01,1817.000000,1907.000000,1280.000000,1517.000000,1494.320557,56489800
2020-04-01,1507.000000,1768.000000,1434.000000,1710.000000,1710.000000,32748700
2020-05-01,1688.000000,1957.000000,1572.000000,1897.000000,1897.000000,24720600
2020-06-01,1924.000000,1991.000000,1782.000000,1870.000000,1870.000000,26456900
2020-07-01,1885.000000,1911.000000,1662.000000,1672.000000,1672.000000,21656400
2020-08-01,1412.000000,1738.000000,1388.000000,1709.000000,1709.000000,32177400
2020-09-01,1691.000000,1830.000000,1615.000000,1694.000000,1694.000000,23810800
2020-10-01,1729.000000,1729.000000,1511.000000,1579.000000,1579.000000,23779600
2020-11-01,1599.000000,2101.000000,1598.000000,2005.000000,2005.000000,21986300
2020-11-20,1975.000000,2019.000000,1971.000000,2005.000000,2005.000000,1515300
