Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,34.000000,35.590000,32.939999,34.110001,30.888216,18378500
2010-03-01,34.400002,40.450001,34.400002,38.320000,34.700569,21045900
2010-04-01,38.490002,38.669998,34.160000,34.220001,31.099754,18502700
2010-05-01,34.290001,34.700001,29.850000,30.780001,27.973417,30985200
2010-06-01,30.469999,30.950001,26.580000,26.680000,24.247263,31985400
2010-07-01,26.219999,32.090000,25.850000,31.219999,28.373299,29690600
2010-08-01,31.950001,32.189999,27.860001,27.990000,25.437817,18798700
2010-09-01,28.350000,31.629999,28.340000,30.920000,28.100655,16633900
2010-10-01,30.799999,34.259998,30.230000,33.840000,30.940502,19005800
2010-11-01,32.930000,35.660000,32.369999,35.480000,32.439980,19224700
2010-12-01,36.209999,36.880001,35.070000,35.709999,32.650276,13744200
2011-01-01,36.169998,36.490002,34.060001,34.340000,31.397661,15505500
2011-02-01,34.610001,36.970001,34.490002,36.840000,33.683456,16353000
2011-03-01,36.720001,36.810001,28.950001,31.830000,29.102726,30958900
2011-04-01,31.820000,32.090000,27.850000,28.309999,26.042440,24944200
2011-05-01,28.690001,29.100000,25.900000,26.740000,24.598192,23292200
2011-06-01,26.860001,26.860001,24.209999,26.389999,24.276230,22418900
2011-07-01,26.420000,27.320000,24.930000,25.100000,23.089556,16802400
2011-08-01,25.330000,25.559999,20.139999,21.950001,20.191860,38617900
2011-09-01,22.070000,22.219999,18.389999,19.000000,17.478151,22203400
2011-10-01,18.809999,22.490000,18.100000,20.969999,19.455105,27444800
2011-11-01,19.799999,20.100000,16.160000,18.049999,16.746054,31731600
2011-12-01,17.980000,18.610001,16.670000,18.040001,16.736776,25482400
2012-01-01,18.280001,18.750000,16.750000,18.219999,16.903769,20722600
2012-02-01,18.059999,22.350000,16.850000,21.389999,19.844769,34961500
2012-03-01,21.490000,22.049999,20.010000,20.770000,19.269556,30027000
2012-04-01,20.559999,20.830000,16.110001,16.209999,15.184414,40630700
2012-05-01,15.850000,16.070000,12.970000,13.240000,12.402323,44581900
2012-06-01,12.750000,14.470000,12.630000,14.240000,13.339054,34567700
2012-07-01,14.180000,14.310000,11.210000,12.150000,11.381287,29240300
2012-08-01,12.110000,12.400000,10.910000,11.310000,10.594432,40383000
2012-09-01,11.330000,13.600000,11.020000,11.700000,10.959757,45995000
2012-10-01,11.860000,12.400000,11.300000,11.740000,11.133927,30417000
2012-11-01,11.690000,11.970000,9.590000,9.740000,9.237175,59594300
2012-12-01,9.720000,11.300000,9.570000,11.200000,10.621804,44165900
2013-01-01,11.460000,15.490000,10.590000,14.940000,14.168728,109153400
2013-02-01,14.710000,15.930000,13.750000,14.580000,13.827313,70563600
2013-03-01,14.980000,18.059999,14.850000,17.400000,16.501732,77777400
2013-04-01,16.870001,17.510000,16.090000,16.430000,15.720277,60164900
2013-05-01,16.270000,23.379999,16.200001,20.150000,19.279589,167098700
2013-06-01,19.400000,21.600000,18.590000,21.190001,20.274660,92557800
2013-07-01,21.500000,23.100000,20.719999,21.040001,20.131140,45988300
2013-08-01,21.930000,22.250000,19.530001,19.959999,19.097794,49440100
2013-09-01,20.400000,21.940001,20.360001,21.520000,20.590406,43853400
2013-10-01,21.379999,21.500000,16.660000,17.250000,16.603167,61014300
2013-11-01,17.010000,19.160000,16.520000,18.299999,17.613787,75161900
2013-12-01,18.490000,18.750000,17.030001,17.290001,16.641663,39312400
2014-01-01,17.330000,18.320000,15.550000,15.750000,15.159410,69318700
2014-02-01,15.600000,17.660000,15.230000,17.549999,16.891916,60366300
2014-03-01,17.200001,19.250000,16.920000,19.120001,18.403042,48979200
2014-04-01,19.420000,19.459999,17.459999,17.639999,17.092701,31101200
2014-05-01,16.850000,17.730000,15.930000,16.180000,15.677999,53419800
2014-06-01,16.309999,17.010000,15.960000,16.770000,16.249693,50917400
2014-07-01,16.860001,19.110001,16.430000,18.430000,17.858191,52494100
2014-08-01,18.070000,19.180000,17.160000,19.110001,18.517096,45022400
2014-09-01,19.320000,20.350000,17.219999,18.040001,17.480293,76445100
2014-10-01,17.889999,19.900000,16.570000,19.820000,19.205061,60838500
2014-11-01,19.639999,22.049999,19.520000,21.990000,21.307735,55128900
2014-12-01,22.250000,22.320000,19.709999,20.469999,19.834894,48433200
2015-01-01,20.469999,23.910000,20.150000,23.290001,22.567406,46361900
2015-02-01,22.959999,28.650000,22.910000,28.320000,27.441343,48093700
2015-03-01,27.950001,28.299999,25.680000,26.780001,25.949123,31998200
2015-04-01,27.459999,32.599998,27.000000,30.230000,29.292084,46305600
2015-05-01,30.309999,32.950001,29.770000,30.920000,29.960674,29549100
2015-06-01,30.860001,31.700001,28.320000,28.389999,27.509171,24577500
2015-07-01,28.469999,29.990000,26.770000,28.350000,27.470411,41585700
2015-08-01,27.910000,27.980000,21.510000,25.860001,25.057667,27560700
2015-09-01,25.129999,26.860001,23.260000,25.410000,24.621628,43220300
2015-10-01,24.799999,29.080000,24.530001,28.400000,27.608089,24156900
2015-11-01,28.540001,29.080000,25.830000,25.920000,25.197243,13899900
2015-12-01,26.200001,26.360001,23.969999,24.610001,23.923775,25763800
