Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,15740.000000,16860.000000,15360.000000,16480.000000,0.050100,32344050
2012-12-01,16440.000000,17700.000000,16440.000000,17040.000000,0.051803,30407500
2013-01-01,17040.000000,17420.000000,15980.000000,16960.000000,0.093735,92424500
2013-02-01,17060.000000,18400.000000,16880.000000,17600.000000,0.097272,21232100
2013-03-01,17600.000000,17920.000000,17000.000000,17520.000000,0.096830,46776400
2013-04-01,17580.000000,18040.000000,17100.000000,17420.000000,0.096277,16951400
2013-05-01,17420.000000,20000.000000,17360.000000,19800.000000,0.109431,86153500
2013-06-01,19540.000000,19740.000000,15940.000000,17680.000000,0.097714,37368300
2013-07-01,17720.000000,17720.000000,15580.000000,16340.000000,0.093173,28567050
2013-08-01,16280.000000,18400.000000,15720.000000,18380.000000,0.104806,28143600
2013-09-01,18300.000000,18380.000000,17200.000000,17520.000000,0.099902,27470150
2013-10-01,17500.000000,20800.000000,17300.000000,20480.000000,0.116780,32590250
2013-11-01,20640.000000,20980.000000,19600.000000,20060.000000,0.114385,63999400
2013-12-01,20200.000000,21240.000000,19640.000000,20260.000000,0.115526,44050700
2014-01-01,20260.000000,20460.000000,18720.000000,19100.000000,0.327840,87264100
2014-02-01,18860.000000,21260.000000,18480.000000,21260.000000,0.364915,48253050
2014-03-01,20980.000000,21480.000000,19320.000000,21140.000000,0.362856,36436750
2014-04-01,20880.000000,21940.000000,20520.000000,20740.000000,0.355990,39605400
2014-05-01,20740.000000,23820.000000,20460.000000,22140.000000,0.380020,76727900
2014-06-01,22260.000000,23020.000000,20440.000000,21200.000000,0.363885,52812500
2014-07-01,21200.000000,22940.000000,20620.000000,21460.000000,0.377152,39015200
2014-08-01,21220.000000,21440.000000,19100.000000,20400.000000,0.358523,46540150
2014-09-01,20200.000000,20340.000000,17320.000000,17960.000000,0.315641,38758700
2014-10-01,18100.000000,19700.000000,15860.000000,19700.000000,0.346221,50846200
2014-11-01,19740.000000,21120.000000,18380.000000,20980.000000,0.368716,33939150
2014-12-01,21000.000000,21100.000000,19060.000000,20780.000000,0.365201,36494650
2015-01-01,20780.000000,21780.000000,19700.000000,21320.000000,5.966461,65442600
2015-02-01,21020.000000,21860.000000,20580.000000,20960.000000,5.865713,22363700
2015-03-01,21040.000000,22880.000000,20980.000000,22080.000000,6.179148,32878700
2015-04-01,22000.000000,23380.000000,20980.000000,21800.000000,6.100789,34257950
2015-05-01,21800.000000,22300.000000,20340.000000,21580.000000,6.039222,23735200
2015-06-01,20940.000000,21500.000000,19500.000000,19860.000000,5.557875,26460050
2015-07-01,19660.000000,20080.000000,17560.000000,18400.000000,5.424065,36453750
2015-08-01,18300.000000,18500.000000,15980.000000,17400.000000,5.129280,42539850
2015-09-01,17360.000000,19200.000000,16880.000000,18340.000000,5.406378,78453250
2015-10-01,18400.000000,24160.000000,17860.000000,23900.000000,7.045389,59276400
2015-11-01,23800.000000,23800.000000,21620.000000,21920.000000,6.461713,67123100
2015-12-01,22120.000000,22940.000000,21000.000000,21820.000000,6.432234,55490750
2016-01-01,21820.000000,21820.000000,18200.000000,19980.000000,87.331909,49269850
2016-02-01,19980.000000,20300.000000,18720.000000,19720.000000,86.195457,31506900
2016-03-01,19720.000000,22500.000000,19720.000000,22140.000000,96.773186,44714950
2016-04-01,22120.000000,22140.000000,20360.000000,20860.000000,91.178352,35927600
2016-05-01,20840.000000,21880.000000,20400.000000,21240.000000,92.839325,52006800
2016-06-01,21460.000000,23660.000000,21320.000000,23660.000000,103.417061,49808800
2016-07-01,23660.000000,25380.000000,23580.000000,25300.000000,115.719398,46582050
2016-08-01,25540.000000,30000.000000,25040.000000,26480.000000,121.116600,49757650
2016-09-01,26020.000000,27340.000000,23420.000000,25800.000000,118.006355,39528850
2016-10-01,25800.000000,27980.000000,24160.000000,26340.000000,120.476250,25198400
2016-11-01,26220.000000,27320.000000,24120.000000,27120.000000,124.043877,35273600
2016-12-01,27120.000000,29120.000000,26840.000000,28660.000000,131.087677,35380950
2017-01-01,28640.000000,32360.000000,28220.000000,31420.000000,4063.764893,111999600
2017-02-01,31420.000000,31780.000000,29640.000000,29920.000000,3869.759521,32307200
2017-03-01,29920.000000,33000.000000,29860.000000,32060.000000,4146.540039,40037150
2017-04-01,32100.000000,36440.000000,30840.000000,35060.000000,5786.201660,32352100
2017-05-01,35060.000000,36380.000000,34080.000000,34980.000000,5772.999023,54150250
2017-06-01,35000.000000,38480.000000,34900.000000,37240.000000,6145.983398,36111200
2017-07-01,37340.000000,41120.000000,36580.000000,38620.000000,7830.825195,38286650
2017-08-01,38600.000000,39200.000000,35760.000000,37700.000000,7644.280762,34473900
2017-09-01,38140.000000,43040.000000,37120.000000,41240.000000,8362.072266,34074800
2017-10-01,41240.000000,44920.000000,41240.000000,44800.000000,10937.781250,30060750
2017-11-01,46720.000000,47180.000000,41060.000000,41920.000000,10234.637695,48573850
2017-12-01,41920.000000,42720.000000,39120.000000,41800.000000,10205.339844,32589100
2018-01-01,41800.000000,44300.000000,38220.000000,42180.000000,22900.298828,43525000
2018-02-01,42740.000000,42740.000000,36660.000000,39900.000000,21662.443359,35562500
2018-03-01,39900.000000,43380.000000,37580.000000,40800.000000,22151.068359,27195450
2018-04-01,40700.000000,43500.000000,39060.000000,42500.000000,41241.750000,22248150
2018-05-01,42500.000000,43000.000000,38750.000000,40500.000000,39300.957031,29440810
2018-06-01,40600.000000,41250.000000,36400.000000,37650.000000,36535.339844,28043494
2018-07-01,37900.000000,38450.000000,36000.000000,38250.000000,37464.304688,23697401
2018-08-01,38250.000000,39700.000000,35600.000000,39700.000000,38884.515625,25016908
2018-09-01,39500.000000,39500.000000,35050.000000,37850.000000,37072.519531,21266245
2018-10-01,37800.000000,38050.000000,33000.000000,35750.000000,35340.605469,21432625
2018-11-01,35750.000000,38100.000000,33650.000000,33750.000000,33363.507813,30181835
2018-12-01,34450.000000,35000.000000,30550.000000,31750.000000,31386.412109,30237374
2019-01-01,31750.000000,37900.000000,29750.000000,37500.000000,37500.000000,35774347
2019-02-01,37000.000000,38000.000000,35400.000000,36000.000000,36000.000000,23472759
2019-03-01,36000.000000,38200.000000,34300.000000,36250.000000,36250.000000,50583987
2019-04-01,36450.000000,38100.000000,35400.000000,37200.000000,37200.000000,19300926
2019-05-01,37200.000000,37350.000000,33000.000000,34800.000000,34800.000000,75800270
2019-06-01,35000.000000,38450.000000,34950.000000,38250.000000,38250.000000,27628751
2019-07-01,38300.000000,39100.000000,36350.000000,37000.000000,37000.000000,18705891
2019-08-01,36500.000000,37150.000000,34500.000000,36850.000000,36850.000000,26638774
2019-09-01,36900.000000,40950.000000,35950.000000,39500.000000,39500.000000,24165113
